GEOID,pop_2024,households_2024,jobs_2023,ts_current,ts_pct_current,band_current
34015501501,3536,1451,700,15.773908056221975,12.0,Low
34015500704,3019,1390,841,48.40202494265087,31.908045977011497,Low
34019011306,4825,1691,1300,10.611976727150497,9.149425287356324,Low
34019011305,3324,1271,1409,17.223938898870053,12.689655172413794,Low
34019010201,3029,1132,497,3.196497919428215,2.574712643678161,Low
34019010900,4513,1588,1789,30.193901918116905,21.195402298850574,Low
34019011000,6677,2124,1714,47.53201031976273,31.448275862068964,Low
34019011100,5569,2003,1874,68.59401551709685,45.195402298850574,Emerging
34019011201,7174,2435,1452,51.39743848910924,34.160919540229884,Emerging
34019011202,7102,2442,1051,57.114510771074635,37.241379310344826,Emerging
34019011301,4030,1461,1005,5.8762936531119865,4.32183908045977,Low
34019011303,3468,1389,932,7.2044358819967735,5.425287356321839,Low
34019011304,4169,1532,1360,8.771988607004044,6.850574712643678,Low
34019011400,4617,1895,3476,70.4515811346764,46.71264367816092,Emerging
34019011500,5580,2060,4025,92.14136922073558,59.86206896551724,Emerging
34019011600,4296,1651,3443,90.15293369699136,58.712643678160916,Emerging
34019011700,3042,1170,1394,59.68135764150129,38.75862068965517,Emerging
34019011800,3073,1185,1058,37.343998988513895,25.333333333333332,Low
34019011900,3309,1358,2864,83.7702652752339,54.3448275862069,Emerging
34019012000,4514,1728,4376,103.66691923126093,66.4367816091954,Supportive
34019012100,4625,1750,3104,86.93233385857145,56.3448275862069,Emerging
34019012200,4948,1796,3091,89.25315705620472,57.9080459770115,Emerging
34019012300,3428,1311,1936,72.69492019436724,48.0919540229885,Emerging
34019012400,3993,1526,2324,84.72815031406615,54.98850574712644,Emerging
34019012500,3171,1193,3466,101.40144752510416,65.24137931034483,Supportive
34019012600,3933,1518,3119,96.96337822048598,62.298850574712645,Emerging
34019012700,5262,1990,3023,92.8228108530907,60.18390804597701,Emerging
34019012800,4144,1568,2648,86.42661892116447,56.09195402298851,Emerging
34019012900,3605,1444,3694,106.19057329738341,68.16091954022988,Supportive
34019013000,3918,1554,4156,112.11637755519156,71.35632183908046,Supportive
34019013100,4124,1657,4660,119.75422123643386,75.08045977011494,Supportive
34019013200,3144,1241,3174,101.69260733959291,65.42528735632183,Supportive
34019013300,3215,1274,2824,97.31241895859938,62.52873563218391,Emerging
34019013400,4192,1697,4291,116.42428915530271,73.5632183908046,Supportive
34019013500,3551,1398,3525,106.643810342476,68.4367816091954,Supportive
34019013600,3913,1556,2955,97.52740180712091,62.62068965517241,Emerging
34019013700,3421,1338,3121,101.49801891859803,65.28735632183908,Supportive
34019013800,4172,1586,4695,116.12733491015838,73.44827586206897,Supportive
34019013900,3391,1287,2601,94.13447177063568,60.96551724137931,Emerging
34019014000,4672,1761,3543,94.63161233515406,61.195402298850574,Emerging
